Time, ax, ay, az, gx, gy, gz
0.000021, 434, -2058, 533, -510, 3395, -5812
0.000194, 150, -2062, 821, -62, 3756, -5815
0.000335, 150, -2062, 821, -62, 3756, -5815
0.000473, 150, -2062, 821, -62, 3756, -5815
0.000613, 150, -2062, 821, -62, 3756, -5815
0.000758, 150, -2062, 821, -62, 3756, -5815
0.000897, 150, -2062, 821, -62, 3756, -5815
0.001036, 150, -2062, 821, -62, 3756, -5815
0.001176, 150, -2062, 821, -62, 3756, -5815
0.001314, -392, -2074, 441, 491, 3823, -5682
0.001456, -392, -2074, 441, 491, 3823, -5682
0.001594, -392, -2074, 441, 491, 3823, -5682
0.001733, -392, -2074, 441, 491, 3823, -5682
0.001871, -392, -2074, 441, 491, 3823, -5682
0.002010, -392, -2074, 441, 491, 3823, -5682
0.002147, -392, -2074, 441, 491, 3823, -5682
0.002285, -324, -2008, -867, 585, 3628, -5377
0.002427, -324, -2008, -867, 585, 3628, -5377
0.002565, -324, -2008, -867, 585, 3628, -5377
0.002703, -324, -2008, -867, 585, 3628, -5377
0.002840, -324, -2008, -867, 585, 3628, -5377
0.002978, -324, -2008, -867, 585, 3628, -5377
0.003116, -324, -2008, -867, 585, 3628, -5377
0.003253, -36, -1910, -1797, -22, 3335, -5233
0.003395, -36, -1910, -1797, -22, 3335, -5233
0.003534, -36, -1910, -1797, -22, 3335, -5233
0.003671, -36, -1910, -1797, -22, 3335, -5233
0.003810, -36, -1910, -1797, -22, 3335, -5233
0.003947, -36, -1910, -1797, -22, 3335, -5233
0.004084, -36, -1910, -1797, -22, 3335, -5233
0.004222, -36, -1910, -1797, -22, 3335, -5233
0.004359, -355, -1987, -1295, -780, 2969, -5139
0.004500, -355, -1987, -1295, -780, 2969, -5139
0.004640, -355, -1987, -1295, -780, 2969, -5139
0.004779, -355, -1987, -1295, -780, 2969, -5139
0.004916, -355, -1987, -1295, -780, 2969, -5139
0.005054, -355, -1987, -1295, -780, 2969, -5139
0.005192, -355, -1987, -1295, -780, 2969, -5139
0.005331, -196, -2106, -23, -1009, 2611, -4853
0.005472, -196, -2106, -23, -1009, 2611, -4853
0.005611, -196, -2106, -23, -1009, 2611, -4853
0.005748, -196, -2106, -23, -1009, 2611, -4853
