Time, ax, ay, az, gx, gy, gz
0.000019, -1137, -2056, -1218, -1031, -736, 909
0.000185, -1137, -2056, -1218, -1031, -736, 909
0.000328, -1137, -2056, -1218, -1031, -736, 909
0.000466, -1146, -2045, -24, -1206, -1266, 1542
0.000604, -1146, -2045, -24, -1206, -1266, 1542
0.000740, -1146, -2045, -24, -1206, -1266, 1542
0.000877, -1146, -2045, -24, -1206, -1266, 1542
0.001017, -1146, -2045, -24, -1206, -1266, 1542
0.001156, -1146, -2045, -24, -1206, -1266, 1542
0.001294, -1146, -2045, -24, -1206, -1266, 1542
0.001431, -560, -2028, 134, -1110, -1334, 2034
0.001572, -560, -2028, 134, -1110, -1334, 2034
0.001710, -560, -2028, 134, -1110, -1334, 2034
0.001848, -560, -2028, 134, -1110, -1334, 2034
0.001986, -560, -2028, 134, -1110, -1334, 2034
0.002123, -560, -2028, 134, -1110, -1334, 2034
0.002260, -560, -2028, 134, -1110, -1334, 2034
0.002397, -560, -2028, 134, -1110, -1334, 2034
0.002535, 351, -2024, 9, -1109, -1162, 2085
0.002676, 351, -2024, 9, -1109, -1162, 2085
0.002813, 351, -2024, 9, -1109, -1162, 2085
0.002950, 351, -2024, 9, -1109, -1162, 2085
0.003088, 351, -2024, 9, -1109, -1162, 2085
0.003225, 351, -2024, 9, -1109, -1162, 2085
0.003362, 351, -2024, 9, -1109, -1162, 2085
0.003500, 843, -2029, -55, -1114, -1033, 1673
0.003640, 843, -2029, -55, -1114, -1033, 1673
0.003778, 843, -2029, -55, -1114, -1033, 1673
0.003916, 843, -2029, -55, -1114, -1033, 1673
0.004053, 843, -2029, -55, -1114, -1033, 1673
0.004190, 843, -2029, -55, -1114, -1033, 1673
0.004328, 843, -2029, -55, -1114, -1033, 1673
0.004465, 843, -2029, -55, -1114, -1033, 1673
0.004602, 556, -2076, -38, -1057, -899, 1173
0.004743, 556, -2076, -38, -1057, -899, 1173
0.004880, 556, -2076, -38, -1057, -899, 1173
0.005018, 556, -2076, -38, -1057, -899, 1173
0.005156, 556, -2076, -38, -1057, -899, 1173
0.005296, 556, -2076, -38, -1057, -899, 1173
0.005433, 556, -2076, -38, -1057, -899, 1173
0.005571, -137, -2156, 106, -932, -741, 1058
0.005713, -137, -2156, 106, -932, -741, 1058
0.005852, -137, -2156, 106, -932, -741, 1058
0.005989, -137, -2156, 106, -932, -741, 1058
0.006126, -137, -2156, 106, -932, -741, 1058
0.006265, -137, -2156, 106, -932, -741, 1058
0.006406, -137, -2156, 106, -932, -741, 1058
0.006544, -70, -2187, 350, -704, -665, 1275
0.006686, -70, -2187, 350, -704, -665, 1275
0.006825, -70, -2187, 350, -704, -665, 1275
0.006962, -70, -2187, 350, -704, -665, 1275
0.007100, -70, -2187, 350, -704, -665, 1275
0.007237, -70, -2187, 350, -704, -665, 1275
0.007376, -70, -2187, 350, -704, -665, 1275
0.007513, 783, -2143, 364, -404, -599, 1176
0.007651, 783, -2143, 364, -404, -599, 1176
0.007789, 783, -2143, 364, -404, -599, 1176
0.007927, 783, -2143, 364, -404, -599, 1176
0.008064, 783, -2143, 364, -404, -599, 1176
0.008201, 783, -2143, 364, -404, -599, 1176
0.008338, 783, -2143, 364, -404, -599, 1176
0.008476, 783, -2143, 364, -404, -599, 1176
0.008613, 1028, -2063, 99, -238, -393, 579
0.008755, 1028, -2063, 99, -238, -393, 579
0.008893, 1028, -2063, 99, -238, -393, 579
0.009032, 1028, -2063, 99, -238, -393, 579
0.009169, 1028, -2063, 99, -238, -393, 579
0.009307, 1028, -2063, 99, -238, -393, 579
0.009445, 1028, -2063, 99, -238, -393, 579
0.009584, 565, -2063, 241, -147, -130, 52
0.009726, 565, -2063, 241, -147, -130, 52
0.009864, 565, -2063, 241, -147, -130, 52
0.010001, 565, -2063, 241, -147, -130, 52
0.010139, 565, -2063, 241, -147, -130, 52
0.010276, 565, -2063, 241, -147, -130, 52
0.010413, 565, -2063, 241, -147, -130, 52
0.010550, 290, -2084, 775, 186, 72, -155
0.010688, 290, -2084, 775, 186, 72, -155
0.010825, 290, -2084, 775, 186, 72, -155
0.010963, 290, -2084, 775, 186, 72, -155
0.011100, 290, -2084, 775, 186, 72, -155
0.011237, 290, -2084, 775, 186, 72, -155
0.011374, 290, -2084, 775, 186, 72, -155
0.011512, 290, -2084, 775, 186, 72, -155
0.011649, 233, -1972, 1410, 801, 248, -254
0.011791, 233, -1972, 1410, 801, 248, -254
