Time, ax, ay, az, gx, gy, gz
0.000015, 2758, 183, 2388, -1876, -1679, 4998
0.000183, 2758, 183, 2388, -1876, -1679, 4998
0.000323, 2758, 183, 2388, -1876, -1679, 4998
0.000461, 2758, 183, 2388, -1876, -1679, 4998
0.000599, 2758, 183, 2388, -1876, -1679, 4998
0.000739, 2758, 183, 2388, -1876, -1679, 4998
0.000872, 7537, 473, 3347, -1433, -1524, 2392
0.001010, 7537, 473, 3347, -1433, -1524, 2392
0.001149, 7537, 473, 3347, -1433, -1524, 2392
0.001286, 7537, 473, 3347, -1433, -1524, 2392
0.001423, 7537, 473, 3347, -1433, -1524, 2392
0.001560, 7537, 473, 3347, -1433, -1524, 2392
0.001697, 7537, 473, 3347, -1433, -1524, 2392
0.001833, 10268, 171, 3782, -366, -1159, -3043
0.001970, 10268, 171, 3782, -366, -1159, -3043
0.002109, 10268, 171, 3782, -366, -1159, -3043
0.002246, 10268, 171, 3782, -366, -1159, -3043
0.002383, 10268, 171, 3782, -366, -1159, -3043
0.002520, 10268, 171, 3782, -366, -1159, -3043
0.002656, 10268, 171, 3782, -366, -1159, -3043
0.002793, 10268, 171, 3782, -366, -1159, -3043
0.002930, 8427, -270, 2246, 773, -229, -9133
0.003067, 8427, -270, 2246, 773, -229, -9133
0.003204, 8427, -270, 2246, 773, -229, -9133
0.003341, 8427, -270, 2246, 773, -229, -9133
0.003478, 8427, -270, 2246, 773, -229, -9133
0.003614, 8427, -270, 2246, 773, -229, -9133
0.003751, 8427, -270, 2246, 773, -229, -9133
0.003888, 5796, 371, -57, 1119, 1198, -13735
0.004025, 5796, 371, -57, 1119, 1198, -13735
0.004162, 5796, 371, -57, 1119, 1198, -13735
0.004299, 5796, 371, -57, 1119, 1198, -13735
0.004435, 5796, 371, -57, 1119, 1198, -13735
0.004572, 5796, 371, -57, 1119, 1198, -13735
0.004709, 5796, 371, -57, 1119, 1198, -13735
0.004847, 5796, 371, -57, 1119, 1198, -13735
0.004985, -124, 522, 9, 907, 2916, -16163
0.005118, -124, 522, 9, 907, 2916, -16163
0.005256, -124, 522, 9, 907, 2916, -16163
0.005399, -124, 522, 9, 907, 2916, -16163
0.005539, -124, 522, 9, 907, 2916, -16163
0.005676, -124, 522, 9, 907, 2916, -16163
0.005813, -124, 522, 9, 907, 2916, -16163
0.005949, -7747, -330, 2648, 1692, 4355, -14218
0.006088, -7747, -330, 2648, 1692, 4355, -14218
0.006224, -7747, -330, 2648, 1692, 4355, -14218
0.006362, -7747, -330, 2648, 1692, 4355, -14218
0.006499, -7747, -330, 2648, 1692, 4355, -14218
0.006637, -7747, -330, 2648, 1692, 4355, -14218
0.006774, -7747, -330, 2648, 1692, 4355, -14218
0.006911, -10437, -744, 2724, 3386, 4752, -8192
0.007048, -10437, -744, 2724, 3386, 4752, -8192
0.007184, -10437, -744, 2724, 3386, 4752, -8192
0.007321, -10437, -744, 2724, 3386, 4752, -8192
0.007458, -10437, -744, 2724, 3386, 4752, -8192
0.007594, -10437, -744, 2724, 3386, 4752, -8192
0.007731, -10437, -744, 2724, 3386, 4752, -8192
0.007868, -10437, -744, 2724, 3386, 4752, -8192
0.008005, -10075, -548, 463, 3632, 3858, -1306
0.008142, -10075, -548, 463, 3632, 3858, -1306
0.008279, -10075, -548, 463, 3632, 3858, -1306
0.008415, -10075, -548, 463, 3632, 3858, -1306
0.008552, -10075, -548, 463, 3632, 3858, -1306
0.008689, -10075, -548, 463, 3632, 3858, -1306
0.008826, -10075, -548, 463, 3632, 3858, -1306
0.008963, -6627, -7, 930, 2147, 1875, 4563
0.009100, -6627, -7, 930, 2147, 1875, 4563
0.009236, -6627, -7, 930, 2147, 1875, 4563
0.009373, -6627, -7, 930, 2147, 1875, 4563
0.009510, -6627, -7, 930, 2147, 1875, 4563
0.009647, -6627, -7, 930, 2147, 1875, 4563
0.009783, -6627, -7, 930, 2147, 1875, 4563
0.009920, -6627, -7, 930, 2147, 1875, 4563
0.010058, -1310, 218, 2658, 636, -363, 7544
0.010195, -1310, 218, 2658, 636, -363, 7544
0.010332, -1310, 218, 2658, 636, -363, 7544
0.010468, -1310, 218, 2658, 636, -363, 7544
0.010605, -1310, 218, 2658, 636, -363, 7544
0.010742, -1310, 218, 2658, 636, -363, 7544
0.010879, -1310, 218, 2658, 636, -363, 7544
0.011015, 351, 83, 2699, -301, -2197, 7628
0.011152, 351, 83, 2699, -301, -2197, 7628
0.011289, 351, 83, 2699, -301, -2197, 7628
0.011426, 351, 83, 2699, -301, -2197, 7628
0.011563, 351, 83, 2699, -301, -2197, 7628
0.011699, 351, 83, 2699, -301, -2197, 7628
0.011836, 351, 83, 2699, -301, -2197, 7628
