Time, ax, ay, az, gx, gy, gz
0.000044, 5291, 1027, 976, 882, 899, -3575
0.000211, 5291, 1027, 976, 882, 899, -3575
0.000351, 648, -526, -706, -239, 2137, -6189
0.000494, 648, -526, -706, -239, 2137, -6189
0.000632, 648, -526, -706, -239, 2137, -6189
0.000773, 648, -526, -706, -239, 2137, -6189
0.000906, 648, -526, -706, -239, 2137, -6189
0.001043, 648, -526, -706, -239, 2137, -6189
0.001181, 648, -526, -706, -239, 2137, -6189
0.001317, -7238, -1066, 733, -1074, 2990, -4633
0.001455, -7238, -1066, 733, -1074, 2990, -4633
0.001592, -7238, -1066, 733, -1074, 2990, -4633
0.001728, -7238, -1066, 733, -1074, 2990, -4633
0.001865, -7238, -1066, 733, -1074, 2990, -4633
0.002002, -7238, -1066, 733, -1074, 2990, -4633
0.002134, -7238, -1066, 733, -1074, 2990, -4633
0.002271, -7238, -1066, 733, -1074, 2990, -4633
0.002407, -4071, 752, 2658, -542, 3092, -66
0.002545, -4071, 752, 2658, -542, 3092, -66
0.002681, -4071, 752, 2658, -542, 3092, -66
0.002818, -4071, 752, 2658, -542, 3092, -66
0.002955, -4071, 752, 2658, -542, 3092, -66
0.003092, -4071, 752, 2658, -542, 3092, -66
0.003229, -4071, 752, 2658, -542, 3092, -66
0.003365, 4022, 1021, 3462, -31, 2614, 526
0.003502, 4022, 1021, 3462, -31, 2614, 526
0.003639, 4022, 1021, 3462, -31, 2614, 526
0.003776, 4022, 1021, 3462, -31, 2614, 526
0.003913, 4022, 1021, 3462, -31, 2614, 526
0.004050, 4022, 1021, 3462, -31, 2614, 526
0.004187, 4022, 1021, 3462, -31, 2614, 526
0.004324, 4022, 1021, 3462, -31, 2614, 526
0.004462, 3950, -261, 3679, 175, 2189, -2410
0.004599, 3950, -261, 3679, 175, 2189, -2410
0.004736, 3950, -261, 3679, 175, 2189, -2410
0.004873, 3950, -261, 3679, 175, 2189, -2410
0.005010, 3950, -261, 3679, 175, 2189, -2410
0.005147, 3950, -261, 3679, 175, 2189, -2410
0.005285, 3950, -261, 3679, 175, 2189, -2410
0.005423, 958, 371, 2608, 549, 1961, -4144
0.005564, 958, 371, 2608, 549, 1961, -4144
0.005701, 958, 371, 2608, 549, 1961, -4144
0.005837, 958, 371, 2608, 549, 1961, -4144
0.005974, 958, 371, 2608, 549, 1961, -4144
0.006111, 958, 371, 2608, 549, 1961, -4144
0.006248, 958, 371, 2608, 549, 1961, -4144
0.006385, -1194, 891, 1282, 742, 1585, -4515
0.006523, -1194, 891, 1282, 742, 1585, -4515
0.006660, -1194, 891, 1282, 742, 1585, -4515
0.006797, -1194, 891, 1282, 742, 1585, -4515
0.006934, -1194, 891, 1282, 742, 1585, -4515
0.007071, -1194, 891, 1282, 742, 1585, -4515
0.007208, -1194, 891, 1282, 742, 1585, -4515
0.007345, -1194, 891, 1282, 742, 1585, -4515
0.007481, -4485, -506, 404, 455, 822, -3469
0.007618, -4485, -506, 404, 455, 822, -3469
0.007755, -4485, -506, 404, 455, 822, -3469
0.007892, -4485, -506, 404, 455, 822, -3469
0.008029, -4485, -506, 404, 455, 822, -3469
0.008166, -4485, -506, 404, 455, 822, -3469
0.008303, -4485, -506, 404, 455, 822, -3469
0.008440, -4842, -756, 1178, 125, -234, -436
0.008578, -4842, -756, 1178, 125, -234, -436
0.008714, -4842, -756, 1178, 125, -234, -436
0.008851, -4842, -756, 1178, 125, -234, -436
0.008988, -4842, -756, 1178, 125, -234, -436
0.009125, -4842, -756, 1178, 125, -234, -436
0.009262, -4842, -756, 1178, 125, -234, -436
0.009399, -4842, -756, 1178, 125, -234, -436
0.009535, -1270, 40, 2705, 147, -1043, 2056
0.009672, -1270, 40, 2705, 147, -1043, 2056
0.009809, -1270, 40, 2705, 147, -1043, 2056
0.009946, -1270, 40, 2705, 147, -1043, 2056
0.010083, -1270, 40, 2705, 147, -1043, 2056
0.010220, -1270, 40, 2705, 147, -1043, 2056
0.010357, -1270, 40, 2705, 147, -1043, 2056
0.010493, 1293, 41, 2728, 81, -1215, 2184
0.010630, 1293, 41, 2728, 81, -1215, 2184
0.010767, 1293, 41, 2728, 81, -1215, 2184
0.010904, 1293, 41, 2728, 81, -1215, 2184
0.011041, 1293, 41, 2728, 81, -1215, 2184
0.011178, 1293, 41, 2728, 81, -1215, 2184
0.011315, 1293, 41, 2728, 81, -1215, 2184
0.011451, 1588, -115, 2677, -135, -915, 1119
0.011588, 1588, -115, 2677, -135, -915, 1119
0.011725, 1588, -115, 2677, -135, -915, 1119
0.011862, 1588, -115, 2677, -135, -915, 1119
0.011999, 1588, -115, 2677, -135, -915, 1119
0.012136, 1588, -115, 2677, -135, -915, 1119
0.012273, 1588, -115, 2677, -135, -915, 1119
0.012410, 1588, -115, 2677, -135, -915, 1119
0.012547, 834, -10, 2877, 35, -298, 141
0.012717, 834, -10, 2877, 35, -298, 141
0.012862, 834, -10, 2877, 35, -298, 141
0.012998, 834, -10, 2877, 35, -298, 141
0.013135, 834, -10, 2877, 35, -298, 141
0.013272, 834, -10, 2877, 35, -298, 141
0.013409, 834, -10, 2877, 35, -298, 141
0.013546, -22, 281, 2103, 437, 35, -339
0.013683, -22, 281, 2103, 437, 35, -339
0.013820, -22, 281, 2103, 437, 35, -339
0.013956, -22, 281, 2103, 437, 35, -339
0.014093, -22, 281, 2103, 437, 35, -339
0.014230, -22, 281, 2103, 437, 35, -339
0.014366, -22, 281, 2103, 437, 35, -339
0.014503, 516, 550, 1681, 658, -150, -638
0.014640, 516, 550, 1681, 658, -150, -638
0.014777, 516, 550, 1681, 658, -150, -638
0.014914, 516, 550, 1681, 658, -150, -638
0.015050, 516, 550, 1681, 658, -150, -638
0.015187, 516, 550, 1681, 658, -150, -638
0.015324, 516, 550, 1681, 658, -150, -638
0.015460, 516, 550, 1681, 658, -150, -638
0.015597, 554, 182, 2535, 917, -62, -1093
0.015734, 554, 182, 2535, 917, -62, -1093
0.015871, 554, 182, 2535, 917, -62, -1093
0.016008, 554, 182, 2535, 917, -62, -1093
0.016144, 554, 182, 2535, 917, -62, -1093
0.016281, 554, 182, 2535, 917, -62, -1093
0.016419, 554, 182, 2535, 917, -62, -1093
0.016555, -217, -102, 2872, 1462, 327, -1204
0.016692, -217, -102, 2872, 1462, 327, -1204
0.016829, -217, -102, 2872, 1462, 327, -1204
0.016966, -217, -102, 2872, 1462, 327, -1204
0.017102, -217, -102, 2872, 1462, 327, -1204
0.017239, -217, -102, 2872, 1462, 327, -1204
0.017376, -217, -102, 2872, 1462, 327, -1204
0.017512, -217, -102, 2872, 1462, 327, -1204
0.017644, -686, -90, 2179, 1961, 593, -955
0.017784, -686, -90, 2179, 1961, 593, -955
0.017923, -686, -90, 2179, 1961, 593, -955
0.018060, -686, -90, 2179, 1961, 593, -955
0.018196, -686, -90, 2179, 1961, 593, -955
0.018333, -686, -90, 2179, 1961, 593, -955
0.018470, -686, -90, 2179, 1961, 593, -955
0.018607, -2327, -505, 1601, 2012, 710, -240
0.018744, -2327, -505, 1601, 2012, 710, -240
0.018881, -2327, -505, 1601, 2012, 710, -240
0.019014, -2327, -505, 1601, 2012, 710, -240
0.019151, -2327, -505, 1601, 2012, 710, -240
0.019288, -2327, -505, 1601, 2012, 710, -240
0.019424, -2327, -505, 1601, 2012, 710, -240
0.019561, -2747, -282, 1090, 1599, 430, 1364
0.019698, -2747, -282, 1090, 1599, 430, 1364
0.019835, -2747, -282, 1090, 1599, 430, 1364
0.019971, -2747, -282, 1090, 1599, 430, 1364
0.020108, -2747, -282, 1090, 1599, 430, 1364
0.020245, -2747, -282, 1090, 1599, 430, 1364
0.020382, -2747, -282, 1090, 1599, 430, 1364
0.020519, -2747, -282, 1090, 1599, 430, 1364
0.020656, 283, 546, 1063, 776, -311, 2407
0.020793, 283, 546, 1063, 776, -311, 2407
0.020930, 283, 546, 1063, 776, -311, 2407
0.021066, 283, 546, 1063, 776, -311, 2407
0.021203, 283, 546, 1063, 776, -311, 2407
