Time, ax, ay, az, gx, gy, gz
0.000043, 209, 99, 2056, -2642, -1712, 6264
0.000211, 209, 99, 2056, -2642, -1712, 6264
0.000350, 685, 134, 2323, -2580, -1364, 6068
0.000491, 685, 134, 2323, -2580, -1364, 6068
0.000632, 685, 134, 2323, -2580, -1364, 6068
0.000772, 685, 134, 2323, -2580, -1364, 6068
0.000911, 685, 134, 2323, -2580, -1364, 6068
0.001049, 685, 134, 2323, -2580, -1364, 6068
0.001195, 685, 134, 2323, -2580, -1364, 6068
0.001328, 2350, 282, 3041, -2304, -1299, 5376
0.001466, 2350, 282, 3041, -2304, -1299, 5376
0.001603, 2350, 282, 3041, -2304, -1299, 5376
0.001740, 2350, 282, 3041, -2304, -1299, 5376
0.001877, 2350, 282, 3041, -2304, -1299, 5376
0.002014, 2350, 282, 3041, -2304, -1299, 5376
0.002150, 2350, 282, 3041, -2304, -1299, 5376
0.002287, 5252, 718, 3969, -1476, -1446, 3253
0.002424, 5252, 718, 3969, -1476, -1446, 3253
0.002561, 5252, 718, 3969, -1476, -1446, 3253
0.002698, 5252, 718, 3969, -1476, -1446, 3253
0.002834, 5252, 718, 3969, -1476, -1446, 3253
0.002971, 5252, 718, 3969, -1476, -1446, 3253
0.003108, 5252, 718, 3969, -1476, -1446, 3253
0.003244, 5252, 718, 3969, -1476, -1446, 3253
0.003381, 5586, 703, 4316, -123, -1278, -284
0.003518, 5586, 703, 4316, -123, -1278, -284
0.003654, 5586, 703, 4316, -123, -1278, -284
0.003791, 5586, 703, 4316, -123, -1278, -284
0.003923, 5586, 703, 4316, -123, -1278, -284
0.004056, 5586, 703, 4316, -123, -1278, -284
0.004193, 5586, 703, 4316, -123, -1278, -284
0.004330, 3323, -242, 2463, 1165, -661, -3275
0.004467, 3323, -242, 2463, 1165, -661, -3275
0.004603, 3323, -242, 2463, 1165, -661, -3275
0.004740, 3323, -242, 2463, 1165, -661, -3275
0.004872, 3323, -242, 2463, 1165, -661, -3275
0.005010, 3323, -242, 2463, 1165, -661, -3275
0.005149, 3323, -242, 2463, 1165, -661, -3275
0.005287, 3323, -242, 2463, 1165, -661, -3275
0.005425, 1661, -877, -328, 1341, -317, -4972
0.005565, 1661, -877, -328, 1341, -317, -4972
0.005702, 1661, -877, -328, 1341, -317, -4972
0.005839, 1661, -877, -328, 1341, -317, -4972
0.005975, 1661, -877, -328, 1341, -317, -4972
0.006112, 1661, -877, -328, 1341, -317, -4972
0.006252, 1661, -877, -328, 1341, -317, -4972
0.006392, -368, -445, 678, 853, -333, -5569
0.006536, -368, -445, 678, 853, -333, -5569
0.006675, -368, -445, 678, 853, -333, -5569
0.006812, -368, -445, 678, 853, -333, -5569
0.006949, -368, -445, 678, 853, -333, -5569
0.007086, -368, -445, 678, 853, -333, -5569
